number	aSeq	aType	ai	aj	bSeq	bType	bi	bj	aPeak	bPeak
732	SC35M_PA	H2	2100	2175	SC35M_NA	H2	50	100	2139	72
733	SC35M_PA	8xmut	1575	1625	SC35M_NA	8xmut	950	1025	1611	956
734	SC35M_PA	wt	175	250	SC35M_NP	wt	150	225	221	191
735	SC35M_PA	wt	125	200	SC35M_NP	wt	475	525	149	506
736	SC35M_PA	wt	50	125	SC35M_NP	wt	525	575	96	558
737	SC35M_PA	wt	275	350	SC35M_NP	wt	450	525	310	491
738	SC35M_PA	wt	200	275	SC35M_NP	wt	625	700	250	665
739	SC35M_PA	wt	100	175	SC35M_NP	wt	675	750	141	703
740	SC35M_PA	wt	250	350	SC35M_NP	wt	850	925	282	899
741	SC35M_PA	wt	25	125	SC35M_NP	wt	925	1000	75	962
742	SC35M_PA	8xmut	175	250	SC35M_NP	8xmut	1375	1425	185	1389
743	SC35M_PA	wt	625	725	SC35M_NP	wt	100	175	682	143
744	SC35M_PA	wt	525	575	SC35M_NP	wt	450	550	548	506
745	SC35M_PA	wt	450	525	SC35M_NP	wt	850	900	501	899
746	SC35M_PA	wt	500	575	SC35M_NP	wt	925	1000	536	953
747	SC35M_PA	H2	650	700	SC35M_NP	H2	650	700	681	663
748	SC35M_PA	wt	575	650	SC35M_NP	wt	1425	1475	607	1446
749	SC35M_PA	wt	850	900	SC35M_NP	wt	100	150	883	127
750	SC35M_PA	wt	825	900	SC35M_NP	wt	275	350	858	323
751	SC35M_PA	wt	750	825	SC35M_NP	wt	525	600	800	558
752	SC35M_PA	wt	900	975	SC35M_NP	wt	450	525	935	468
753	SC35M_PA	H2	800	875	SC35M_NP	H2	650	700	846	657
754	SC35M_PA	wt	900	975	SC35M_NP	wt	675	775	935	721
755	SC35M_PA	wt	800	875	SC35M_NP	wt	825	900	856	858
756	SC35M_PA	wt	875	950	SC35M_NP	wt	825	900	901	858
757	SC35M_PA	H2	825	900	SC35M_NP	H2	1100	1175	870	1149
758	SC35M_PA	wt	825	900	SC35M_NP	wt	1225	1275	873	1245
759	SC35M_PA	wt	775	850	SC35M_NP	wt	1400	1475	823	1433
760	SC35M_PA	wt	1125	1175	SC35M_NP	wt	525	575	1154	545
761	SC35M_PA	wt	1125	1200	SC35M_NP	wt	1250	1325	1165	1281
762	SC35M_PA	wt	1350	1400	SC35M_NP	wt	450	525	1368	502
763	SC35M_PA	wt	1325	1375	SC35M_NP	wt	850	900	1350	872
764	SC35M_PA	wt	1350	1400	SC35M_NP	wt	1250	1300	1373	1267
765	SC35M_PA	wt	1675	1750	SC35M_NP	wt	125	200	1712	173
766	SC35M_PA	wt	1500	1550	SC35M_NP	wt	450	525	1543	501
767	SC35M_PA	wt	1575	1650	SC35M_NP	wt	475	550	1633	506
768	SC35M_PA	wt	1675	1750	SC35M_NP	wt	450	525	1712	498
769	SC35M_PA	H2	1575	1625	SC35M_NP	H2	725	775	1608	771
770	SC35M_PA	wt	1450	1500	SC35M_NP	wt	825	925	1494	870
771	SC35M_PA	wt	1575	1650	SC35M_NP	wt	825	900	1614	854
772	SC35M_PA	wt	1525	1600	SC35M_NP	wt	1250	1350	1554	1299
773	SC35M_PA	wt	1675	1725	SC35M_NP	wt	1325	1375	1711	1344
774	SC35M_PA	wt	1750	1800	SC35M_NP	wt	1325	1375	1778	1347
775	SC35M_PA	wt	1950	2050	SC35M_NP	wt	125	225	1988	173
776	SC35M_PA	wt	2125	2200	SC35M_NP	wt	75	175	2163	134
777	SC35M_PA	wt	2075	2175	SC35M_NP	wt	450	537	2124	501
778	SC35M_PA	wt	1950	2000	SC35M_NP	wt	675	725	1981	698
779	SC35M_PA	wt	2100	2175	SC35M_NP	wt	600	675	2139	641
780	SC35M_PA	wt	1925	1975	SC35M_NP	wt	850	900	1943	870
781	SC35M_PA	wt	2100	2175	SC35M_NP	wt	1200	1275	2141	1225
782	SC35M_PA	wt	1975	2050	SC35M_NP	wt	1250	1337	2010	1304
783	SC35M_PA	wt	1975	2050	SC35M_NP	wt	1337	1400	2018	1349
784	SC35M_PA	wt	2125	2200	SC35M_NP	wt	175	300	2154	233
785	SC35M_PA	H2	625	725	SC35M_NP	H2	50	90	682	89
786	SC35M_PA	H2	825	900	SC35M_NP	H2	1275	1350	856	1286
787	SC35M_PA	H2	1425	1475	SC35M_NP	H2	1150	1225	1449	1188
788	SC35M_PA	H2	2180	2225	SC35M_NP	H2	700	775	2182	741
789	SC35M_PA	wt	50	100	SC35M_NS	wt	50	100	76	81
790	SC35M_PA	8xmut	25	100	SC35M_NS	8xmut	250	350	53	292
791	SC35M_PA	wt	25	100	SC35M_NS	wt	350	425	63	397
792	SC35M_PA	wt	250	300	SC35M_NS	wt	325	400	286	367
793	SC35M_PA	wt	1400	1475	SC35M_NS	wt	775	825	1438	777
794	SC35M_PA	wt	150	200	SC35M_NS	wt	650	700	183	683
795	SC35M_PA	wt	200	250	SC35M_NS	wt	725	800	233	756
796	SC35M_PA	wt	475	525	SC35M_NS	wt	25	100	505	69
797	SC35M_PA	wt	375	425	SC35M_NS	wt	325	400	402	369
798	SC35M_PA	wt	350	425	SC35M_NS	wt	625	700	399	669
799	SC35M_PA	wt	525	575	SC35M_NS	wt	750	825	551	775
800	SC35M_PA	wt	725	800	SC35M_NS	wt	150	225	772	187
801	SC35M_PA	wt	800	875	SC35M_NS	wt	125	225	849	180
802	SC35M_PA	wt	875	925	SC35M_NS	wt	350	400	904	363
803	SC35M_PA	wt	650	725	SC35M_NS	wt	400	470	691	447
804	SC35M_PA	wt	800	825	SC35M_NS	wt	500	550	823	524
805	SC35M_PA	wt	875	950	SC35M_NS	wt	525	600	875	525
806	SC35M_PA	H2	650	725	SC35M_NS	H2	600	680	686	655
807	SC35M_PA	wt	1150	1250	SC35M_NS	wt	150	225	1208	182
808	SC35M_PA	wt	1150	1225	SC35M_NS	wt	250	325	1191	299
809	SC35M_PA	H2	1325	1425	SC35M_NS	H2	250	350	1362	291
810	SC35M_PA	wt	1450	1525	SC35M_NS	wt	250	325	1493	283
811	SC35M_PA	wt	1175	1250	SC35M_NS	wt	400	475	1221	439
812	SC35M_PA	wt	1350	1400	SC35M_NS	wt	425	500	1377	455
813	SC35M_PA	wt	1150	1200	SC35M_NS	wt	800	880	1180	848
814	SC35M_PA	wt	1400	1475	SC35M_NS	wt	675	720	1443	703
815	SC35M_PA	wt	1450	1525	SC35M_NS	wt	50	100	1494	73
816	SC35M_PA	wt	1575	1650	SC35M_NS	wt	150	225	1623	203
817	SC35M_PA	wt	1575	1650	SC35M_NS	wt	350	410	1608	372
818	SC35M_PA	wt	1475	1550	SC35M_NS	wt	500	550	1511	524
819	SC35M_PA	wt	1525	1575	SC35M_NS	wt	625	700	1551	659
820	SC35M_PA	wt	1800	1875	SC35M_NS	wt	50	100	1853	81
821	SC35M_PA	wt	1800	1875	SC35M_NS	wt	100	150	1855	118
822	SC35M_PA	wt	1725	1800	SC35M_NS	wt	125	200	1779	160
823	SC35M_PA	wt	1775	1850	SC35M_NS	wt	350	425	1817	392
824	SC35M_PA	wt	1750	1825	SC35M_NS	wt	700	775	1786	744
825	SC35M_PA	wt	1975	2050	SC35M_NS	wt	150	225	2018	194
826	SC35M_PA	wt	2125	2175	SC35M_NS	wt	500	550	2155	525
827	SC35M_PA	wt	2000	2050	SC35M_NS	wt	600	675	2024	642
828	SC35M_PA	wt	2125	2175	SC35M_NS	wt	700	775	2155	739
829	SC35M_PA	wt	1600	1675	SC35M_NS	wt	412	487	1649	464
830	SC35M_PA	wt	2050	2125	SC35M_NS	wt	325	425	2058	369
831	SC35M_PA	4xmut	25	75	SC35M_NS	4xmut	475	575	68	523
832	SC35M_PA	4xmut	75	125	SC35M_NS	4xmut	475	575	94	523
833	SC35M_PA	4xmut	1325	1400	SC35M_NS	4xmut	500	575	1379	517
834	SC35M_PA	8xmut	125	200	SC35M_NS	8xmut	250	325	168	281
835	SC35M_PA	8xmut	1575	1650	SC35M_NS	8xmut	300	350	1608	340
836	SC35M_PA	8xmut	1975	2050	SC35M_NS	8xmut	100	150	2011	136
837	SC35M_PA	8xmut	2050	2100	SC35M_NS	8xmut	287	325	2074	293
838	SC35M_PA	wt	200	250	SC35M_NS	wt	525	575	248	543
839	SC35M_PA	wt	250	325	SC35M_NS	wt	500	575	285	526
840	SC35M_PA	H2	650	725	SC35M_NS	H2	700	750	684	731
841	SC35M_PA	H2	2125	2175	SC35M_NS	H2	350	400	2140	371
842	SC35M_PA	H4	450	490	SC35M_NS	H4	500	575	474	525
843	SC35M_PA	H4	750	790	SC35M_NS	H4	500	550	778	526
844	SC35M_PB1	wt	50	110	SC35M_HA	wt	300	350	92	337
845	SC35M_PB1	wt	110	150	SC35M_HA	wt	300	375	134	337
846	SC35M_PB1	wt	200	250	SC35M_HA	wt	350	425	230	386
847	SC35M_PB1	wt	50	125	SC35M_HA	wt	1075	1150	94	1108
848	SC35M_PB1	wt	200	250	SC35M_HA	wt	1075	1125	226	1106
849	SC35M_PB1	wt	275	350	SC35M_HA	wt	1075	1125	318	1102
850	SC35M_PB1	wt	100	175	SC35M_HA	wt	1300	1400	151	1346
851	SC35M_PB1	wt	125	175	SC35M_HA	wt	1425	1500	148	1456
852	SC35M_PB1	wt	500	550	SC35M_HA	wt	250	300	525	284
853	SC35M_PB1	wt	450	500	SC35M_HA	wt	400	450	474	429
854	SC35M_PB1	8xmut	475	600	SC35M_HA	8xmut	475	575	510	535
855	SC35M_PB1	wt	500	575	SC35M_HA	wt	725	800	545	759
856	SC35M_PB1	wt	612	700	SC35M_HA	wt	1600	1675	653	1635
857	SC35M_PB1	wt	900	950	SC35M_HA	wt	50	125	933	89
858	SC35M_PB1	wt	925	1000	SC35M_HA	wt	525	600	974	561
859	SC35M_PB1	wt	775	875	SC35M_HA	wt	800	900	836	849
860	SC35M_PB1	wt	775	850	SC35M_HA	wt	950	1025	811	982
861	SC35M_PB1	wt	700	775	SC35M_HA	wt	1025	1100	749	1065
862	SC35M_PB1	wt	900	975	SC35M_HA	wt	1425	1525	938	1477
863	SC35M_PB1	wt	1000	1075	SC35M_HA	wt	1400	1475	1047	1434
864	SC35M_PB1	wt	1050	1125	SC35M_HA	wt	1600	1675	1087	1643
865	SC35M_PB1	wt	1325	1400	SC35M_HA	wt	100	175	1353	141
866	SC35M_PB1	wt	1500	1575	SC35M_HA	wt	75	125	1544	97
867	SC35M_PB1	wt	1350	1425	SC35M_HA	wt	500	575	1400	534
868	SC35M_PB1	wt	1525	1600	SC35M_HA	wt	525	600	1571	560
869	SC35M_PB1	wt	1350	1425	SC35M_HA	wt	725	800	1393	776
870	SC35M_PB1	wt	1325	1375	SC35M_HA	wt	1000	1050	1354	1024
871	SC35M_PB1	wt	1325	1375	SC35M_HA	wt	1050	1125	1353	1083
872	SC35M_PB1	wt	1500	1575	SC35M_HA	wt	975	1025	1536	999
873	SC35M_PB1	wt	1475	1550	SC35M_HA	wt	1225	1275	1511	1257
874	SC35M_PB1	wt	1200	1275	SC35M_HA	wt	1275	1350	1238	1307
875	SC35M_PB1	wt	1475	1550	SC35M_HA	wt	1350	1400	1509	1375
876	SC35M_PB1	wt	1325	1400	SC35M_HA	wt	1500	1575	1368	1543
877	SC35M_PB1	wt	1675	1750	SC35M_HA	wt	225	300	1711	266
878	SC35M_PB1	wt	1825	1875	SC35M_HA	wt	350	425	1854	385
879	SC35M_PB1	wt	1875	1925	SC35M_HA	wt	350	425	1904	386
880	SC35M_PB1	wt	1900	1975	SC35M_HA	wt	575	650	1939	624
881	SC35M_PB1	wt	1625	1675	SC35M_HA	wt	1025	1100	1656	1070
882	SC35M_PB1	wt	1625	1675	SC35M_HA	wt	1325	1375	1657	1346
883	SC35M_PB1	wt	1650	1700	SC35M_HA	wt	1400	1475	1673	1436
884	SC35M_PB1	wt	2125	2200	SC35M_HA	wt	50	125	2168	102
885	SC35M_PB1	wt	1975	2050	SC35M_HA	wt	350	425	2020	386
886	SC35M_PB1	4xmut	1975	2075	SC35M_HA	4xmut	825	925	2040	891
887	SC35M_PB1	wt	2150	2250	SC35M_HA	wt	925	1000	2177	986
888	SC35M_PB1	wt	1975	2050	SC35M_HA	wt	1075	1150	2017	1105
889	SC35M_PB1	wt	1900	1975	SC35M_HA	wt	1275	1350	1939	1310
890	SC35M_PB1	wt	2000	2050	SC35M_HA	wt	1400	1450	2020	1424
891	SC35M_PB1	wt	2100	2150	SC35M_HA	wt	1400	1450	2124	1434
892	SC35M_PB1	wt	2200	2275	SC35M_HA	wt	1600	1675	2235	1639
893	SC35M_PB1	wt	625	700	SC35M_HA	wt	875	950	659	922
894	SC35M_PB1	wt	500	575	SC35M_HA	wt	1125	1225	536	1165
895	SC35M_PB1	wt	475	575	SC35M_HA	wt	1300	1400	528	1348
896	SC35M_PB1	wt	425	500	SC35M_HA	wt	1450	1525	470	1486
897	SC35M_PB1	wt	525	600	SC35M_HA	wt	1600	1675	599	1636
898	SC35M_PB1	wt	1500	1600	SC35M_HA	wt	650	725	1560	692
899	SC35M_PB1	wt	1975	2050	SC35M_HA	wt	1550	1625	2025	1588
900	SC35M_PB1	H1	1325	1400	SC35M_HA	H1	825	875	1335	825
901	SC35M_PB1	wt	475	575	SC35M_HA	wt	825	900	537	850
902	SC35M_PB1	wt	475	575	SC35M_HA	wt	900	950	531	938
903	SC35M_PB1	wt	475	575	SC35M_HA	wt	975	1050	531	1018
904	SC35M_PB1	4xmut	875	950	SC35M_HA	4xmut	1575	1675	924	1624
905	SC35M_PB1	4xmut	1400	1475	SC35M_HA	4xmut	425	500	1439	459
906	SC35M_PB1	4xmut	1325	1400	SC35M_HA	4xmut	1600	1675	1371	1612
907	SC35M_PB1	4xmut	2125	2225	SC35M_HA	4xmut	200	300	2188	239
908	SC35M_PB1	4xmut	1825	1925	SC35M_HA	4xmut	475	550	1882	531
909	SC35M_PB1	HAmtoNAterm	567	650	SC35M_HA	HAmtoNAterm	187	275	604	235
910	SC35M_PB1	H2	2200	2250	SC35M_HA	H2	600	650	2216	612
911	SC35M_PB1	H2	175	225	SC35M_HA	H2	875	925	212	909
912	SC35M_PB1	H1	112	113	SC35M_HA	H1	1285	1286	112	1285
913	SC35M_PB1	H2	50	100	SC35M_HA	H2	375	400	82	375
914	SC35M_PB1	H1	250	300	SC35M_HA	H1	350	425	269	366
915	SC35M_PB1	H1	1425	1475	SC35M_HA	H1	1600	1650	1444	1632
916	SC35M_PB1	H1	2125	2175	SC35M_HA	H1	1550	1600	2134	1566
917	SC35M_PB1	wt	550	600	SC35M_HA	wt	475	550	555	534
918	SC35M_PB1	8xmut	500	555	SC35M_HA	8xmut	1625	1675	545	1636
919	SC35M_PB1	H1	2185	2186	SC35M_HA	H1	936	937	2185	936
920	SC35M_PB1	wt	50	125	SC35M_M	wt	50	125	104	78
921	SC35M_PB1	wt	125	175	SC35M_M	wt	175	250	153	228
922	SC35M_PB1	H2	175	250	SC35M_M	H2	337	400	219	355
923	SC35M_PB1	H2	50	125	SC35M_M	H2	418	500	90	439
924	SC35M_PB1	NAterm	50	125	SC35M_M	NAterm	600	700	110	664
925	SC35M_PB1	H1	200	230	SC35M_M	H1	650	700	219	670
926	SC35M_PB1	wt	475	550	SC35M_M	wt	50	100	528	82
927	SC35M_PB1	wt	575	650	SC35M_M	wt	50	100	605	71
928	SC35M_PB1	wt	650	725	SC35M_M	wt	175	230	695	222
929	SC35M_PB1	wt	650	725	SC35M_M	wt	230	300	689	273
930	SC35M_PB1	wt	500	550	SC35M_M	wt	450	500	536	467
931	SC35M_PB1	H2	675	775	SC35M_M	H2	750	825	740	792
932	SC35M_PB1	wt	925	1000	SC35M_M	wt	125	200	968	167
933	SC35M_PB1	wt	825	900	SC35M_M	wt	375	450	873	404
934	SC35M_PB1	wt	875	950	SC35M_M	wt	575	650	924	618
935	SC35M_PB1	wt	1025	1075	SC35M_M	wt	525	600	1055	557
936	SC35M_PB1	wt	875	950	SC35M_M	wt	850	950	923	899
937	SC35M_PB1	wt	1375	1450	SC35M_M	wt	50	100	1409	72
938	SC35M_PB1	wt	1200	1300	SC35M_M	wt	300	375	1240	349
939	SC35M_PB1	wt	1200	1300	SC35M_M	wt	425	500	1283	465
940	SC35M_PB1	wt	1400	1450	SC35M_M	wt	725	775	1433	740
941	SC35M_PB1	wt	1700	1750	SC35M_M	wt	50	100	1715	83
942	SC35M_PB1	wt	1650	1750	SC35M_M	wt	100	200	1708	137
943	SC35M_PB1	wt	1800	1875	SC35M_M	wt	250	325	1837	292
944	SC35M_PB1	8xmut	1750	1850	SC35M_M	8xmut	450	500	1827	488
945	SC35M_PB1	wt	1525	1575	SC35M_M	wt	675	725	1551	699
946	SC35M_PB1	wt	1550	1625	SC35M_M	wt	750	825	1587	789
947	SC35M_PB1	wt	1575	1650	SC35M_M	wt	825	875	1604	838
948	SC35M_PB1	wt	1900	1950	SC35M_M	wt	150	225	1921	193
949	SC35M_PB1	H4	2000	2075	SC35M_M	H4	175	225	2054	214
950	SC35M_PB1	wt	2075	2150	SC35M_M	wt	100	175	2127	134
951	SC35M_PB1	wt	2175	2250	SC35M_M	wt	50	125	2215	92
952	SC35M_PB1	H2	1975	2050	SC35M_M	H2	350	400	2010	364
953	SC35M_PB1	wt	2125	2175	SC35M_M	wt	475	525	2156	503
954	SC35M_PB1	wt	1925	2000	SC35M_M	wt	550	625	1976	592
955	SC35M_PB1	wt	1850	1900	SC35M_M	wt	675	725	1872	698
956	SC35M_PB1	wt	2000	2100	SC35M_M	wt	750	850	2026	791
957	SC35M_PB1	wt	2100	2150	SC35M_M	wt	900	975	2124	932
958	SC35M_PB1	wt	675	750	SC35M_M	wt	450	525	717	471
959	SC35M_PB1	wt	900	975	SC35M_M	wt	650	725	935	697
960	SC35M_PB1	wt	980	1025	SC35M_M	wt	775	850	994	797
961	SC35M_PB1	wt	725	800	SC35M_M	wt	150	225	725	216
962	SC35M_PB1	wt	900	975	SC35M_M	wt	375	437	950	396
963	SC35M_PB1	wt	525	625	SC35M_M	wt	775	825	580	800
964	SC35M_PB1	wt	525	625	SC35M_M	wt	825	875	602	843
965	SC35M_PB1	wt	875	950	SC35M_M	wt	775	850	933	835
966	SC35M_PB1	4xmut	500	550	SC35M_M	4xmut	775	875	524	808
967	SC35M_PB1	8xmut	50	125	SC35M_M	8xmut	187	250	112	212
968	SC35M_PB1	8xmut	25	125	SC35M_M	8xmut	750	850	84	806
969	SC35M_PB1	NAterm	550	600	SC35M_M	NAterm	437	512	578	465
970	SC35M_PB1	H2	125	175	SC35M_M	H2	250	300	162	256
971	SC35M_PB1	H2	75	125	SC35M_M	H2	350	400	99	375
972	SC35M_PB1	H2	175	250	SC35M_M	H2	300	325	219	322
973	SC35M_PB1	H2	275	325	SC35M_M	H2	650	700	292	682
974	SC35M_PB1	H2	875	950	SC35M_M	H2	960	1000	929	960
975	SC35M_PB1	H2	900	1000	SC35M_M	H2	300	360	961	340
976	SC35M_PB1	H2	1975	2050	SC35M_M	H2	300	350	2020	329
977	SC35M_PB1	H2	1875	1925	SC35M_M	H2	300	400	1901	329
978	SC35M_PB1	H1	2000	2050	SC35M_M	H1	600	650	2013	613
979	SC35M_PB1	H1	1325	1375	SC35M_M	H1	625	675	1354	636
980	SC35M_PB1	H1	375	425	SC35M_M	H1	350	425	389	403
981	SC35M_PB1	H1	425	475	SC35M_M	H1	350	400	452	355
982	SC35M_PB1	H4	2000	2075	SC35M_M	H4	235	275	2054	240
983	SC35M_PB1	H4	1675	1725	SC35M_M	H4	425	500	1701	455
984	SC35M_PB1	wt	50	125	SC35M_NA	wt	75	150	88	111
985	SC35M_PB1	wt	25	125	SC35M_NA	wt	275	350	88	312
986	SC35M_PB1	wt	175	250	SC35M_NA	wt	525	600	216	556
987	SC35M_PB1	wt	225	275	SC35M_NA	wt	625	675	259	645
988	SC35M_PB1	wt	125	175	SC35M_NA	wt	700	750	148	730
989	SC35M_PB1	wt	50	125	SC35M_NA	wt	825	900	92	859
990	SC35M_PB1	wt	25	100	SC35M_NA	wt	950	1025	67	978
991	SC35M_PB1	wt	250	325	SC35M_NA	wt	875	950	288	909
992	SC35M_PB1	wt	225	300	SC35M_NA	wt	950	1025	250	982
993	SC35M_PB1	wt	150	250	SC35M_NA	wt	1250	1325	208	1289
994	SC35M_PB1	wt	300	350	SC35M_NA	wt	1225	1275	322	1248
995	SC35M_PB1	wt	350	425	SC35M_NA	wt	800	875	394	834
996	SC35M_PB1	wt	450	525	SC35M_NA	wt	350	425	524	424
997	SC35M_PB1	wt	475	550	SC35M_NA	wt	50	125	527	78
998	SC35M_PB1	wt	475	550	SC35M_NA	wt	475	550	512	517
999	SC35M_PB1	wt	625	700	SC35M_NA	wt	475	550	667	517
1000	SC35M_PB1	HAmtoNAterm	575	625	SC35M_NA	HAmtoNAterm	350	400	594	386
1001	SC35M_PB1	wt	425	550	SC35M_NA	wt	800	875	456	836
1002	SC35M_PB1	wt	500	575	SC35M_NA	wt	950	1025	536	983
1003	SC35M_PB1	wt	625	700	SC35M_NA	wt	1050	1125	672	1083
1004	SC35M_PB1	wt	425	500	SC35M_NA	wt	1287	1367	474	1320
1005	SC35M_PB1	wt	625	675	SC35M_NA	wt	1250	1325	655	1291
1006	SC35M_PB1	wt	500	575	SC35M_NA	wt	1350	1425	545	1392
1007	SC35M_PB1	wt	925	1000	SC35M_NA	wt	75	150	951	114
1008	SC35M_PB1	wt	900	950	SC35M_NA	wt	365	425	930	389
1009	SC35M_PB1	wt	950	1000	SC35M_NA	wt	375	450	986	419
1010	SC35M_PB1	wt	775	850	SC35M_NA	wt	475	525	832	499
1011	SC35M_PB1	wt	925	1000	SC35M_NA	wt	750	800	980	780
1012	SC35M_PB1	wt	900	950	SC35M_NA	wt	875	975	933	924
1013	SC35M_PB1	wt	775	875	SC35M_NA	wt	1000	1075	838	1048
1014	SC35M_PB1	wt	775	850	SC35M_NA	wt	1300	1350	836	1321
1015	SC35M_PB1	wt	775	850	SC35M_NA	wt	1350	1400	836	1361
1016	SC35M_PB1	wt	1575	1650	SC35M_NA	wt	200	250	1610	225
1017	SC35M_PB1	wt	1475	1550	SC35M_NA	wt	250	325	1510	288
1018	SC35M_PB1	wt	1325	1400	SC35M_NA	wt	275	350	1355	307
1019	SC35M_PB1	wt	1225	1325	SC35M_NA	wt	450	550	1281	499
1020	SC35M_PB1	wt	1400	1500	SC35M_NA	wt	475	550	1456	533
1021	SC35M_PB1	wt	1200	1275	SC35M_NA	wt	825	875	1237	843
1022	SC35M_PB1	wt	1475	1550	SC35M_NA	wt	850	900	1507	883
1023	SC35M_PB1	wt	1200	1275	SC35M_NA	wt	975	1050	1232	1025
1024	SC35M_PB1	wt	1325	1400	SC35M_NA	wt	925	1025	1365	982
1025	SC35M_PB1	wt	1525	1575	SC35M_NA	wt	950	1025	1561	997
1026	SC35M_PB1	wt	1300	1400	SC35M_NA	wt	1050	1150	1371	1081
1027	SC35M_PB1	wt	1525	1575	SC35M_NA	wt	1150	1200	1556	1174
1028	SC35M_PB1	wt	1175	1250	SC35M_NA	wt	1300	1350	1214	1318
1029	SC35M_PB1	wt	1300	1375	SC35M_NA	wt	1300	1375	1342	1361
1030	SC35M_PB1	wt	1500	1575	SC35M_NA	wt	1350	1450	1531	1419
1031	SC35M_PB1	wt	1650	1700	SC35M_NA	wt	1300	1350	1670	1323
1032	SC35M_PB1	wt	1650	1725	SC35M_NA	wt	350	425	1693	386
1033	SC35M_PB1	wt	1800	1850	SC35M_NA	wt	300	350	1828	333
1034	SC35M_PB1	wt	1750	1825	SC35M_NA	wt	450	525	1790	480
1035	SC35M_PB1	wt	1700	1775	SC35M_NA	wt	550	625	1747	591
1036	SC35M_PB1	wt	1700	1750	SC35M_NA	wt	675	750	1729	711
1037	SC35M_PB1	wt	1775	1825	SC35M_NA	wt	950	1025	1816	985
1038	SC35M_PB1	wt	1975	2050	SC35M_NA	wt	275	350	2020	317
1039	SC35M_PB1	8xmut	1975	2075	SC35M_NA	8xmut	450	550	2034	507
1040	SC35M_PB1	wt	1975	2050	SC35M_NA	wt	575	650	2006	625
1041	SC35M_PB1	wt	1975	2050	SC35M_NA	wt	700	775	2015	735
1042	SC35M_PB1	wt	1975	2050	SC35M_NA	wt	1050	1125	2020	1090
1043	SC35M_PB1	wt	2075	2150	SC35M_NA	wt	1050	1125	2102	1081
1044	SC35M_PB1	wt	1975	2050	SC35M_NA	wt	1300	1375	2008	1350
1045	SC35M_PB1	wt	1850	1900	SC35M_NA	wt	1375	1425	1892	1398
1046	SC35M_PB1	wt	2150	2225	SC35M_NA	wt	950	1025	2188	976
1047	SC35M_PB1	wt	625	675	SC35M_NA	wt	50	125	639	87
1048	SC35M_PB1	wt	725	825	SC35M_NA	wt	75	150	777	122
1049	SC35M_PB1	wt	525	625	SC35M_NA	wt	1075	1150	536	1075
1050	SC35M_PB1	wt	950	1000	SC35M_NA	wt	825	875	981	828
1051	SC35M_PB1	wt	1400	1450	SC35M_NA	wt	1125	1225	1437	1174
1052	SC35M_PB1	wt	2075	2175	SC35M_NA	wt	450	550	2075	494
1053	SC35M_PB1	wt	1900	1975	SC35M_NA	wt	950	1025	1950	1002
1054	SC35M_PB1	wt	1975	2050	SC35M_NA	wt	950	1025	2015	1004
1055	SC35M_PB1	4xmut	1975	2050	SC35M_NA	4xmut	825	925	2011	860
1056	SC35M_PB1	8xmut	1325	1425	SC35M_NA	8xmut	475	550	1356	499
1057	SC35M_PB1	H2	350	400	SC35M_NA	H2	500	550	358	532
1058	SC35M_PB1	H2	425	475	SC35M_NA	H2	475	550	474	512
1059	SC35M_PB1	H2	800	850	SC35M_NA	H2	400	475	821	454
1060	SC35M_PB1	H2	1625	1700	SC35M_NA	H2	1150	1200	1646	1154
1061	SC35M_PB1	H2	1650	1690	SC35M_NA	H2	675	750	1688	722
1062	SC35M_PB1	H2	2300	2325	SC35M_NA	H2	300	350	2302	323
1063	SC35M_PB1	H2	2275	2325	SC35M_NA	H2	450	550	2280	514
1064	SC35M_PB1	H1	450	485	SC35M_NA	H1	50	125	476	73
1065	SC35M_PB1	H1	900	950	SC35M_NA	H1	300	350	929	338
1066	SC35M_PB1	H1	1825	1875	SC35M_NA	H1	950	1025	1850	990
1067	SC35M_PB1	H1	2225	2300	SC35M_NA	H1	325	400	2251	376
1068	SC35M_PB1	H1	2000	2050	SC35M_NA	H1	537	575	2007	547
1069	SC35M_PB1	4xmut	1400	1420	SC35M_NA	4xmut	475	525	1412	504
1070	SC35M_PB1	wt	50	125	SC35M_NP	wt	75	175	92	133
1071	SC35M_PB1	wt	250	350	SC35M_NP	wt	50	150	303	96
1072	SC35M_PB1	wt	50	150	SC35M_NP	wt	300	375	94	342
1073	SC35M_PB1	wt	100	175	SC35M_NP	wt	500	575	157	536
1074	SC35M_PB1	wt	275	325	SC35M_NP	wt	550	600	309	562
1075	SC35M_PB1	wt	75	175	SC35M_NP	wt	850	925	134	894
1076	SC35M_PB1	wt	500	550	SC35M_NP	wt	25	100	531	70
1077	SC35M_PB1	wt	475	575	SC35M_NP	wt	450	550	528	477
1078	SC35M_PB1	wt	350	425	SC35M_NP	wt	525	600	407	575
1079	SC35M_PB1	wt	475	550	SC35M_NP	wt	825	900	528	870
1080	SC35M_PB1	wt	500	575	SC35M_NP	wt	950	1025	536	999
1081	SC35M_PB1	wt	475	575	SC35M_NP	wt	1250	1350	528	1303
1082	SC35M_PB1	wt	475	550	SC35M_NP	wt	1450	1525	510	1474
1083	SC35M_PB1	wt	875	975	SC35M_NP	wt	150	250	933	206
1084	SC35M_PB1	wt	725	800	SC35M_NP	wt	250	325	761	293
1085	SC35M_PB1	wt	700	775	SC35M_NP	wt	500	600	753	540
